product_name,product_id,aisle_id,department_id,Source
Bag of Organic Bananas,13176,24,4,Other
Organic Fuji Apple,28204,24,4,Other
Bananas,39276,24,4,Other
Apples,13575,24,4,Other
Red Mango,32429,24,4,Other
Black Plum,10305,24,4,Other
Asian Pears,13640,24,4,Other
Blueberries Pint,30849,24,4,Other
Pineapple,3481,24,4,Other
Black Figs,40712,24,4,Other
Sparkling Natural Mineral Water,33198,115,7,Other
Spring Water,19660,115,7,Other
Water,25466,115,7,Other
Sparkling Water Grapefruit,44632,115,7,Other
Smartwater,21386,115,7,Other
Italian Sparkling Pomegranate And Orange Soda,4493,115,7,Other
Purified Water,15424,115,7,Other
Seltzer Water,17924,115,7,Other
Blackberry Cucumber Sparkling Water,39947,115,7,Other
Cantaloupe Grapefruit Sparkling Water,31748,115,7,Other
Lime Sparkling Water,35221,115,7,Other
Natural Spring Water,8859,115,7,Other
Lemon Italian Sparkling Mineral Water,9138,115,7,Other
Natural Artisan Water,1194,115,7,Other
Electrolyte Enhanced Water,26165,115,7,Other
Sparkling Water Berry,20119,115,7,Other
Pure Sparkling Water,14947,115,7,Other
Sparkling Mineral Water,43154,115,7,Other
Natural Pure Sparkling Water,42972,115,7,Other
Lemon Sparkling Water,36316,115,7,Other
Peach Pear Flavored Sparkling Water,26620,115,7,Other
Kiwi Sandia Sparkling Water,12576,115,7,Other
Italian Sparkling Mineral Water,5479,115,7,Other
Orange Sparkling Water,49520,115,7,Other
Imported Mineral Water,4658,115,7,Other
100% Natural Spring Water Minis,37797,115,7,Other
Sparkling Lemon Water,21709,115,7,Other
Original Lemonade,25435,115,7,Other
Mandarin Orange Sparkling Natural Spring Water,44257,115,7,Other
Smartwater Electrolyte Enhanced Water,27985,115,7,Other
Sparkling Water,5258,115,7,Other
100% Spring Water,47868,115,7,Other
Slim Can Pink Grapefruit Natural Mineral Water,24186,115,7,Other
Mango Sparkling Water,2717,115,7,Other
All Natural Apricot Sparkling Water,22556,115,7,Other
Passionfruit Sparkling Water,31964,115,7,Other
Curate Cherry Lime Sparkling Water,30353,115,7,Other
Cran-Raspberry Flavored Sparkling Water,7693,115,7,Other
