product_name,product_id,aisle_id,department_id
Bag of Organic Bananas,13176,24,4
Organic Fuji Apple,28204,24,4
Bananas,39276,24,4
Apples,13575,24,4
Red Mango,32429,24,4
Black Plum,10305,24,4
Asian Pears,13640,24,4
Blueberries Pint,30849,24,4
Pineapple,3481,24,4
Black Figs,40712,24,4
Sparkling Natural Mineral Water,33198,115,7
Spring Water,19660,115,7
Water,25466,115,7
Sparkling Water Grapefruit,44632,115,7
Smartwater,21386,115,7
Italian Sparkling Pomegranate And Orange Soda,4493,115,7
Purified Water,15424,115,7
Seltzer Water,17924,115,7
Blackberry Cucumber Sparkling Water,39947,115,7
Cantaloupe Grapefruit Sparkling Water,31748,115,7
Lime Sparkling Water,35221,115,7
Natural Spring Water,8859,115,7
Lemon Italian Sparkling Mineral Water,9138,115,7
Natural Artisan Water,1194,115,7
Electrolyte Enhanced Water,26165,115,7
Sparkling Water Berry,20119,115,7
Pure Sparkling Water,14947,115,7
Sparkling Mineral Water,43154,115,7
Natural Pure Sparkling Water,42972,115,7
Lemon Sparkling Water,36316,115,7
Peach Pear Flavored Sparkling Water,26620,115,7
Kiwi Sandia Sparkling Water,12576,115,7
Italian Sparkling Mineral Water,5479,115,7
Orange Sparkling Water,49520,115,7
Imported Mineral Water,4658,115,7
100% Natural Spring Water Minis,37797,115,7
Sparkling Lemon Water,21709,115,7
Original Lemonade,25435,115,7
Mandarin Orange Sparkling Natural Spring Water,44257,115,7
Smartwater Electrolyte Enhanced Water,27985,115,7
Sparkling Water,5258,115,7
100% Spring Water,47868,115,7
Slim Can Pink Grapefruit Natural Mineral Water,24186,115,7
Mango Sparkling Water,2717,115,7
All Natural Apricot Sparkling Water,22556,115,7
Passionfruit Sparkling Water,31964,115,7
Curate Cherry Lime Sparkling Water,30353,115,7
Cran-Raspberry Flavored Sparkling Water,7693,115,7
Distilled Water,23288,115,7
Unsweetened Blackberry Water,10339,115,7
Raspberry Essence Water,49519,115,7
"Water, Unsweet, Crisp Apple",48453,115,7
Unsweetened Pomegranate Essence Water,22832,115,7
100% Natural Spring Water,12606,115,7
Pure Water,13944,115,7
Raspberry Lime Seltzer,30975,115,7
Perrier Lime,38889,115,7
Lemon Sparkling Mountain Spring Water,40997,115,7
Coconut Flavored Sparkling Water,35989,115,7
Natural Artesian Water,14233,115,7
Natural Artesian Bottled Water,6182,115,7
"Natural Artesian Water, Mini & Mobile",13245,115,7
Seltzer Calorie-free,15030,115,7
Zero Strawberry Lemon,659,115,7
"Sparkling Water, Natural Mango Essenced",12302,115,7
Grapefruit Sparkling Water,47977,115,7
Peach-Pear Sparkling Water,1831,115,7
Pineapple Strawberry Sparkling Water,27275,115,7
Natural Alpine Spring Water,10851,115,7
Tonic Water,35948,115,7
Unsweet Peach Water,4952,115,7
Unsweetened Watermelon Water,17530,115,7
Alpine Spring Water,27325,115,7
smartwater® Electrolyte Enhanced Water,36107,115,7
"Sparkling Mineral Water, Natural Lemon Flavor",7026,115,7
Water Mineral,35470,115,7
Lime Italian Sparkling Mineral Water,36216,115,7
"Water, Unsweet, Blood Orange",22491,115,7
Unsweetened Honeydew Essence Water,45343,115,7
Amaaazing Blueberry Apple Juice Blend Drink,49021,115,7
Water New Zealand,48465,115,7
New Zealand Artesian Water,29869,115,7
"Sparkling Water, Bottles",11885,115,7
Sport Bottle with Flip Cap Natural Spring Water,12640,115,7
Original Sparkling Seltzer Water,16207,115,7
Lemon Cucumber Sparkling Water,44631,115,7
Slim Can Lime Sparkling Natural Mineral Water,3664,115,7
High pH 9+ Alkaline Ionized Water,23254,115,7
Cran Raspberry Sparkling Water,49191,115,7
Lemon Lime Seltzer,32978,115,7
Organic Coconut Water,18023,115,7
Natural Lemon Flavor Sparkling Mineral Water,46485,115,7
Sparkling Orange Juice & Prickly Pear Beverage,10,115,7
1 Liter,5428,115,7
Classic Lemonade,9458,115,7
Pure Life Purified Water,35507,115,7
Curate Melon Pomelo Sparking Water,45747,115,7
Mineral Water,22802,115,7
Raspberry Blackberry Sparkling Water,48552,115,7
Drinking Water,40939,115,7
Clementina Sparkling Beverage,17080,115,7
Sparkling Seltzer Water,10655,115,7
Strawberry Peach Still Artesian Water,43351,115,7
Distilled Drinking Water,34075,115,7
Lime Slim Can,48015,115,7
Sparkling Natural Spring Water,9623,115,7
Curate Pomme Baya-Apple Berry Sparkling Water,41682,115,7
Sparkling Mountain Spring Water Watermelon Lime,4776,115,7
Lemon Orange Sparking Mineral Water,17907,115,7
Unsweet Pineapple Water,13596,115,7
Pineapple Strawberry Naturally Essenced Sparkling Water,28342,115,7
Sparkling Spring Water,2830,115,7
Original Sparkling Water,46325,115,7
Mountain Spring Water,3873,115,7
Orange Sparkling Water Beverage,38041,115,7
DRINKING WATER,34945,115,7
L'Orange Sparkling Natural Mineral Water,28610,115,7
Variety Pack Splash Water Beverage,25605,115,7
Spring Water Infused with Fulvic Acid,43001,115,7
Coconut Sparkling Water,12919,115,7
Purified Drinking Water,36691,115,7
Original Seltzer Water,42504,115,7
Orange Seltzer Water,24267,115,7
Purified Alkalkine Water with Minerals pH10,13128,115,7
Naturally Alkaline Spring Water,45303,115,7
Bottled Water,27024,115,7
"Water, Natural Spring",28044,115,7
Natural 8 fl oz Alpine Spring Water,42387,115,7
Lemon Sparkling Mineral Water,40795,115,7
Superior Club Soda,7645,115,7
Sparkling Water Blackberry Pear,18333,115,7
Lemon Seltzer,27090,115,7
Seltzer Calorie-free Cranberry Lime,32044,115,7
Pure Life Water,9829,115,7
Carbon Filtered Water,35544,115,7
Raspberry Lime Sparkling Seltzer Water,8834,115,7
Natural Orange Flavor Sparkling Mineral Water,25926,115,7
Original Sparkling Seltzer Water Cans,31764,115,7
Minis to Go Natural Spring Water,42791,115,7
S. Pellegrino Sparkling Natural Mineral Water,3042,115,7
Electrolyte Water,23650,115,7
Watermelon Lime Sparkling Mountain Spring Water,6023,115,7
Natural Lime Flavor Sparkling Mineral Water,7350,115,7
Very Berry Flavor Sparking Mineral Water,49609,115,7
Classic Carbonated Natural Mineral Water,5457,115,7
Artesian Sparkling Water,37774,115,7
Raw Coconut Water With Fair Trade Coffee,31713,115,7
Real2 Alkalized Water 500 ml,35496,115,7
Lemon Lime Sparkling Seltzer Water,36603,115,7
Pink Grapefruit Sparkling Natural Mineral Water,39115,115,7
Mandarin Orange Sparkling Water,5711,115,7
Orange Mango Sparkling Water,4895,115,7
Sparkling Kiwi Strawberry Soda,47842,115,7
Cherry Limeade Sparkling Water,30266,115,7
"Purified Water, 9.5pH+",48095,115,7
Spearmint Water,26101,115,7
Lime Flavored Flavored Sparkling Water,17771,115,7
Peach Pear Sparkling Water,40488,115,7
Very Berry Flavor Sparkling Mineral Water,3090,115,7
Black Cherry Sparkling Water Beverage,42764,115,7
Pineapple Coconut Sparkling Water,44902,115,7
Original Sparkling Mountain Spring Water,20916,115,7
Black Raspberry Sparkling Water Drink,33852,115,7
Organic Sparkling Black Cherry Beverage,41359,115,7
Unsweetened Strawberry Kiwi Water,5487,115,7
Key Lime Sparkling Water,29886,115,7
Black Cherry Sparkling Water,34389,115,7
9.5 pH Super Hydrating Purified Water,1096,115,7
Limonata Sparkling Beverage,28004,115,7
Alkalized Water,35649,115,7
Smartwater® Vapor Distilled Water,23043,115,7
Kiwi Strawberry Sparkling Water,223,115,7
NiCola Sparkling Water,21380,115,7
Black Cherry Seltzer,37943,115,7
Mandarin Orange Sparkling  Water,31382,115,7
Lime Seltzer,14709,115,7
Strawberry Watermelon Sparkling Water,19078,115,7
Pear Acai Flavor Enhancer,13458,115,7
Core Hydration Water,34902,115,7
Artesian Water,45113,115,7
Mandarin Orange Essence Sparkling Natural Spring Water,2971,115,7
Naturally Light Indian Tonic Water,47025,115,7
Alkalized Water With Electrolytes,48426,115,7
Organic Raw Maple Water,14845,115,7
Pink Grapefruit,19953,115,7
Hawaiian Volcanic Water,31918,115,7
Chinotto,20994,115,7
Sparkling Raspberry Seltzer,44,115,7
Alkaline Water,41330,115,7
Lemon Lime Sparkling Water,28296,115,7
Unsweet Blackberry Sparkling Water,7303,115,7
Grapefruit Fizz Water,30334,115,7
Unsweet Peach Sparkling Water,1998,115,7
"Sparkling Mineral Water, Classic",46433,115,7
Seltzer Water Calorie-Free Black Cherry,31140,115,7
Sparkling Raspberry Lemonade Water Beverage,334,115,7
Raspberry Lime Essence Sparkling Mountain Spring Water,48083,115,7
Organic Pear,3971,115,7
Tangerine Lemongrass Sparkling Water,39199,115,7
Organic Maple Water,35152,115,7
Black Cherry New York Seltzer Water,5454,115,7
Pomegranate Blueberry Sparkling Water,1154,115,7
Mandarin Orange Sparkling Seltzer Water,11194,115,7
Natural with Sport Cap Alpine Spring Water,7878,115,7
Pomegranate Berry Sparkling Water with Juice,13357,115,7
Ultra-Purified Water,47231,115,7
100% Raw Coconut Water With Fair Trade Coffee,26909,115,7
Raspberry Seltzer Water,18595,115,7
Pink Grapefruit Sparkling Water with Juice,46576,115,7
Raspberry Lime Sparkling Mountain Spring Water,29368,115,7
Lemon Lime Sparkling Energy Water,7584,115,7
Ultra Purified Drinking Water,39396,115,7
Calorie Free Seltzer Water,38873,115,7
Sparkling Grapefruit Seltzer,2019,115,7
Sparkling Lemon Seltzer,7346,115,7
Sparkling Lemon Seltzer Water,608,115,7
"Sparkling Water, Orange",4831,115,7
Unsweet Watermelon Sparkling Water,30567,115,7
Premium Spring Water,44054,115,7
"Seltzer, Cherry Pomegranate",18807,115,7
