product_name,product_id,aisle_id,department_id
"Smoothies, Strawberries Wild",38959,113,1
Pizza Dough,18908,58,1
Gluten Free Whole Grain Bread,7963,58,1
Organic Fillo Dough,45143,58,1
Dark Chocolate Covered Banana,43889,119,1
Original Whipped Topping,11121,119,1
Gluten-Free Chicken Nuggets,12144,34,1
Natural Chicken & Maple Breakfast Sausage Patty,48287,34,1
Raw Shrimp,7862,34,1
Organic Chicken Strips,43504,34,1
Beyond Beef Beefy Crumble,2979,42,1
Seven Grain Crispy Tenders,38944,42,1
"The \""World's Best\"" Veggie Burger",2002,42,1
California Veggie Burgers - 4 CT,45364,42,1
Chik'n Nuggets,15950,42,1
Four Cheese Thin Crust Pizza,5959,79,1
Spinach Pizza,8022,79,1
Thin Crust Pepperoni Pizza,20345,79,1
Organic Cheese Frozen Pizza,24561,79,1
Margherita Pizza,5449,79,1
Cheese Pizza,9741,79,1
Thin Crust Margherita Pizza with Fresh Mozzarella & Basil,26298,79,1
Pizza 4 Cheese,8012,79,1
Organic Mini Homestyle Waffles,162,52,1
Chicken & Maple Breakfast Sausage,37158,52,1
Natural Classic Pork Breakfast Sausage,9515,52,1
Eggo Homestyle Waffles,30696,52,1
Wheat Gluten Free Waffles,24010,52,1
Organic Homestyle Mini Waffles,9595,52,1
Gluten Free Blueberry Waffles,17807,52,1
Naturals Savory Turkey Breakfast Sausage,311,52,1
Organic Multigrain Waffles,9825,52,1
Organic Homestyle Waffles,25753,52,1
Organic Blueberry Waffles,2326,52,1
Pineapple Chunks,46802,116,1
Organic Broccoli Florets,20995,116,1
Frozen Broccoli Florets,28934,116,1
Mango Chunks,1158,116,1
Green Peas,32433,116,1
Blueberries,9076,116,1
Frozen Organic Wild Blueberries,17948,116,1
Berry Medley,40545,116,1
Organic Cut Green Beans,28123,116,1
Organic Frozen Peas,14678,116,1
Whole Strawberries,28553,116,1
Organic Whole Strawberries,24489,116,1
Organic Mixed Vegetables,35887,116,1
Organic Berry Blend,47492,116,1
Organic Mango Chunks,26128,116,1
Organic Chopped Spinach,18918,116,1
Organic Dark Sweet Cherries,24082,116,1
Organic Sliced Peaches,34584,116,1
Sweet Potatoes,34466,116,1
Organic Frozen Mango Chunks,2228,116,1
Cut Green Beans,37250,116,1
Chopped Spinach,23236,116,1
Organic Edamame,31869,116,1
Naturals Chicken Nuggets,2452,129,1
Shredded Hash Browns,48171,129,1
Cheese Pizza Snacks,31766,129,1
Organic Yukon Select Fries,14881,129,1
Sweet Potato Fries with Sea Salt,46346,129,1
Shoestring Fries,48720,129,1
Kidz All Natural Baked Chicken Nuggets,1215,129,1
Air Chilled Breaded Chicken Breast Nuggets,17652,129,1
Chicken Breast Tenders Breaded,11440,129,1
Macaroni & Cheese,42450,38,1
Chicken Pot Pie,13966,38,1
Organic Jasmine Rice,39121,38,1
Light and Lean Quinoa Black Beans with Butternut Squash and Chard,49273,38,1
Butternut Squash Ravioli,43908,38,1
Pesto Tortellini  Bowls,34217,38,1
Pad Thai,45613,38,1
Broccoli & Cheddar Bake Meal Bowl,9124,38,1
Cheddar Cheese Burrito,30135,38,1
Organic Brown Rice,49075,38,1
Bean & Cheese Burrito,26914,38,1
Organic Beans & Rice Cheddar Cheese Burrito,47792,38,1
Organic Gluten Free Non-Dairy Beans & Rice Burrito,49416,38,1
Kitchen Cheese Enchilada,22559,38,1
Half Baked® Ice Cream,46175,37,1
Cherry Garcia Ice Cream,47993,37,1
Americone Dream® Ice Cream,45681,37,1
Mint Chip,2361,37,1
Chocolate Chip Cookie Dough Ice Cream,12276,37,1
Vanilla Ice Cream,32691,37,1
Chocolate Peanut Butter Cup Gelato,28682,37,1
Watermelon Agave Frozen Pops,10199,37,1
Mediterranean Mint Gelato,20754,37,1
Strawberry Ice Cream,40002,37,1
Milk and Cookies Ice Cream,38374,37,1
Ice Cream Sandwiches Vanilla,38274,37,1
Tahitian Vanilla Bean Gelato,24231,37,1
Caramel Cookie Crunch Gelato,13885,37,1
Sea Salt Caramel Gelato,41319,37,1
Vanilla Bean Light Ice Cream,21463,37,1
Chocolate Ice Cream,16965,37,1
Ice Bag,1398,37,1
Organic Vanilla Bean Ice Cream,23554,37,1
Birthday Cake Light Ice Cream,48523,37,1
