order_id,product_id,product_name,aisle_id,aisle,department_id,department
7,46802,Pineapple Chunks,116,frozen produce,1,frozen
14,162,Organic Mini Homestyle Waffles,52,frozen breakfast,1,frozen
14,2452,Naturals Chicken Nuggets,129,frozen appetizers sides,1,frozen
14,10096,Corn Meal Pizza Crust,58,frozen breads doughs,1,frozen
14,20995,Organic Broccoli Florets,116,frozen produce,1,frozen
18,28934,Frozen Broccoli Florets,116,frozen produce,1,frozen
20,47485,Mini Chocolate Chip Waffles,52,frozen breakfast,1,frozen
23,13497,Gluten and Dairy Free Sonoma Veggie Burger,42,frozen vegan vegetarian,1,frozen
24,40078,Strawberry Lemonade Frozen Pops,37,ice cream ice,1,frozen
24,9065,Mint Chocolate Cookie Ice Cream,37,ice cream ice,1,frozen
24,46175,Half Baked® Ice Cream,37,ice cream ice,1,frozen
25,37510,Steamfresh Lightly Sauced Broccoli With Cheese Sauce,116,frozen produce,1,frozen
25,14576,Delights Turkey Sausage Egg Whites & Cheese English Muffin,52,frozen breakfast,1,frozen
25,48171,Shredded Hash Browns,129,frozen appetizers sides,1,frozen
25,30320,Craveables Four Cheese Pizza,79,frozen pizza,1,frozen
25,15925,Macaroni and Cheese,38,frozen meals,1,frozen
30,1158,Mango Chunks,116,frozen produce,1,frozen
33,5699,Gluten Free Mushroom Risotto Bowl,38,frozen meals,1,frozen
33,19970,Gourmet Mochi Ice Cream Vanilla Bonbons,37,ice cream ice,1,frozen
38,32433,Green Peas,116,frozen produce,1,frozen
40,42450,Macaroni & Cheese,38,frozen meals,1,frozen
44,31509,Sausage Biscuit,52,frozen breakfast,1,frozen
44,383,Breaded Chicken Breast Tenders,34,frozen meat seafood,1,frozen
44,13966,Chicken Pot Pie,38,frozen meals,1,frozen
44,2240,Eggo Nutri-Grain Blueberry Waffles,52,frozen breakfast,1,frozen
48,12144,Gluten-Free Chicken Nuggets,34,frozen meat seafood,1,frozen
50,276,French Vanilla Ice Cream,37,ice cream ice,1,frozen
55,8251,Roasted Mushroom Pizza,79,frozen pizza,1,frozen
56,9076,Blueberries,116,frozen produce,1,frozen
63,34854,"Steamfresh Selects Frozen Broccoli, Cauliflower & Carrots",116,frozen produce,1,frozen
63,34640,Steamfresh Premium Selects Frozen Whole Green Beans,116,frozen produce,1,frozen
64,38959,"Smoothies, Strawberries Wild",113,frozen juice,1,frozen
66,45368,Roman Raspberry Sorbetto,37,ice cream ice,1,frozen
67,47993,Cherry Garcia Ice Cream,37,ice cream ice,1,frozen
74,45681,Americone Dream® Ice Cream,37,ice cream ice,1,frozen
75,2361,Mint Chip,37,ice cream ice,1,frozen
75,5959,Four Cheese Thin Crust Pizza,79,frozen pizza,1,frozen
75,43889,Dark Chocolate Covered Banana,119,frozen dessert,1,frozen
77,2979,Beyond Beef Beefy Crumble,42,frozen vegan vegetarian,1,frozen
77,38944,Seven Grain Crispy Tenders,42,frozen vegan vegetarian,1,frozen
77,18079,"Veggie Burger, Quarter Pound",42,frozen vegan vegetarian,1,frozen
88,1158,Mango Chunks,116,frozen produce,1,frozen
92,39121,Organic Jasmine Rice,38,frozen meals,1,frozen
92,35704,Gluten Free Hamburger Buns,58,frozen breads doughs,1,frozen
94,17948,Frozen Organic Wild Blueberries,116,frozen produce,1,frozen
95,48287,Natural Chicken & Maple Breakfast Sausage Patty,34,frozen meat seafood,1,frozen
95,37158,Chicken & Maple Breakfast Sausage,52,frozen breakfast,1,frozen
97,12276,Chocolate Chip Cookie Dough Ice Cream,37,ice cream ice,1,frozen
97,46175,Half Baked® Ice Cream,37,ice cream ice,1,frozen
97,2275,Chicken Apple Sausage Egg White Breakfast Burrito,52,frozen breakfast,1,frozen
97,37460,No Sugar Added Variety Fruit Bars,37,ice cream ice,1,frozen
98,27509,Organic Seasoned Yukon Select Potatoes Hashed Browns,129,frozen appetizers sides,1,frozen
98,40986,Raspberry Sorbet Pops,37,ice cream ice,1,frozen
98,48287,Natural Chicken & Maple Breakfast Sausage Patty,34,frozen meat seafood,1,frozen
105,12276,Chocolate Chip Cookie Dough Ice Cream,37,ice cream ice,1,frozen
106,22620,Chocolate Peanut Butter Ice Cream,37,ice cream ice,1,frozen
106,27509,Organic Seasoned Yukon Select Potatoes Hashed Browns,129,frozen appetizers sides,1,frozen
106,38819,Shoestrings French Fried Potatoes,129,frozen appetizers sides,1,frozen
114,4495,Chicken Parmesan,38,frozen meals,1,frozen
114,31766,Cheese Pizza Snacks,129,frozen appetizers sides,1,frozen
115,37358,Frozen Limeade Concentrate,113,frozen juice,1,frozen
119,18908,Pizza Dough,58,frozen breads doughs,1,frozen
120,40545,Berry Medley,116,frozen produce,1,frozen
120,46703,Shelled Soybeans Edamame,116,frozen produce,1,frozen
123,46823,The Ultimate Beefless Burger,42,frozen vegan vegetarian,1,frozen
123,6692,Lightly Seasoned Chick'n Scallopini,42,frozen vegan vegetarian,1,frozen
123,49273,Light and Lean Quinoa Black Beans with Butternut Squash and Chard,38,frozen meals,1,frozen
123,43908,Butternut Squash Ravioli,38,frozen meals,1,frozen
123,28123,Organic Cut Green Beans,116,frozen produce,1,frozen
124,24630,Gluten Free Quiche & Pie Crusts,58,frozen breads doughs,1,frozen
127,9076,Blueberries,116,frozen produce,1,frozen
127,9515,Natural Classic Pork Breakfast Sausage,52,frozen breakfast,1,frozen
127,39938,7 Grain Waffles,52,frozen breakfast,1,frozen
131,26937,Organic Kale,116,frozen produce,1,frozen
134,30696,Eggo Homestyle Waffles,52,frozen breakfast,1,frozen
134,48423,Organic Sweet Peas,116,frozen produce,1,frozen
134,8638,Vanilla Milk Chocolate Almond Ice Cream Bars,37,ice cream ice,1,frozen
134,41970,Vanilla Milk Chocolate Ice Cream Bars,37,ice cream ice,1,frozen
139,14678,Organic Frozen Peas,116,frozen produce,1,frozen
143,18498,Broccoli Florets Steamers,116,frozen produce,1,frozen
143,46844,Simple Favorites Lasagna with Meat Sauce,38,frozen meals,1,frozen
143,42352,Swedish Meatballs,38,frozen meals,1,frozen
143,37611,Spaghetti with Meatballs,38,frozen meals,1,frozen
143,14850,Classic Macaroni & Beef in tomato sauce. Classic Macaroni & Beef,38,frozen meals,1,frozen
148,14881,Organic Yukon Select Fries,129,frozen appetizers sides,1,frozen
148,1158,Mango Chunks,116,frozen produce,1,frozen
151,30486,Organic Sweet Cherries,116,frozen produce,1,frozen
156,12276,Chocolate Chip Cookie Dough Ice Cream,37,ice cream ice,1,frozen
160,25331,Chocolate Malt,37,ice cream ice,1,frozen
161,14464,Dulce de Leche Caramel Ice Cream,37,ice cream ice,1,frozen
161,32691,Vanilla Ice Cream,37,ice cream ice,1,frozen
161,12276,Chocolate Chip Cookie Dough Ice Cream,37,ice cream ice,1,frozen
161,48800,Caramel Cone Ice Cream,37,ice cream ice,1,frozen
161,48097,Rum Raisin Ice Cream,37,ice cream ice,1,frozen
161,17334,Coffee Ice Cream,37,ice cream ice,1,frozen
162,38944,Seven Grain Crispy Tenders,42,frozen vegan vegetarian,1,frozen
163,35715,"Whole Grain Organic Waffles, Totally Original",52,frozen breakfast,1,frozen
165,34339,"Pizza, Rice Crust, Cheese",79,frozen pizza,1,frozen
175,1516,Organic Acai Berry Smoothie Packs,116,frozen produce,1,frozen
175,28934,Frozen Broccoli Florets,116,frozen produce,1,frozen
175,32433,Green Peas,116,frozen produce,1,frozen
175,46346,Sweet Potato Fries with Sea Salt,129,frozen appetizers sides,1,frozen
175,48720,Shoestring Fries,129,frozen appetizers sides,1,frozen
177,1158,Mango Chunks,116,frozen produce,1,frozen
177,46802,Pineapple Chunks,116,frozen produce,1,frozen
177,9076,Blueberries,116,frozen produce,1,frozen
180,17948,Frozen Organic Wild Blueberries,116,frozen produce,1,frozen
181,20995,Organic Broccoli Florets,116,frozen produce,1,frozen
185,41556,Pastry Kitchens Classic Puff Pastry,119,frozen dessert,1,frozen
186,25830,Eggo Blueberry Waffles,52,frozen breakfast,1,frozen
188,38275,Cocktail Style Cubes  Spring Water Ice,37,ice cream ice,1,frozen
191,29116,Spinach Souffle,38,frozen meals,1,frozen
198,45368,Roman Raspberry Sorbetto,37,ice cream ice,1,frozen
200,9434,Bag of Large Lemons,34,frozen meat seafood,1,frozen
204,45368,Roman Raspberry Sorbetto,37,ice cream ice,1,frozen
204,28682,Chocolate Peanut Butter Cup Gelato,37,ice cream ice,1,frozen
213,9390,Frozen Peaches,116,frozen produce,1,frozen
213,9076,Blueberries,116,frozen produce,1,frozen
213,46802,Pineapple Chunks,116,frozen produce,1,frozen
213,1158,Mango Chunks,116,frozen produce,1,frozen
213,28553,Whole Strawberries,116,frozen produce,1,frozen
214,40545,Berry Medley,116,frozen produce,1,frozen
221,24010,Wheat Gluten Free Waffles,52,frozen breakfast,1,frozen
223,46172,Three Meat & Four Cheese Lasagna,38,frozen meals,1,frozen
223,5636,Vanilla and Chocolate Low Fat Ice Cream Sandwiches,37,ice cream ice,1,frozen
224,45681,Americone Dream® Ice Cream,37,ice cream ice,1,frozen
224,22620,Chocolate Peanut Butter Ice Cream,37,ice cream ice,1,frozen
224,21694,Mini Classic Ice Cream,37,ice cream ice,1,frozen
228,24489,Organic Whole Strawberries,116,frozen produce,1,frozen
228,47439,S'mores Chocolate Ice Cream,37,ice cream ice,1,frozen
228,45368,Roman Raspberry Sorbetto,37,ice cream ice,1,frozen
228,34217,Pesto Tortellini  Bowls,38,frozen meals,1,frozen
228,45613,Pad Thai,38,frozen meals,1,frozen
228,34224,Vanilla Frozen Non-Dairy Dessert Bites,37,ice cream ice,1,frozen
231,46666,Rocky Road Ice Cream,37,ice cream ice,1,frozen
231,40203,Mint Chip Ice Cream,37,ice cream ice,1,frozen
231,45896,Herb Roasted Chicken Dinner,38,frozen meals,1,frozen
231,14464,Dulce de Leche Caramel Ice Cream,37,ice cream ice,1,frozen
231,44254,White Chocolate Raspberry Truffle Ice Cream,37,ice cream ice,1,frozen
231,25830,Eggo Blueberry Waffles,52,frozen breakfast,1,frozen
231,23621,Classic Fried Chicken Frozen Dinner,38,frozen meals,1,frozen
231,26552,Cafe Steamers Asian Beef Teriyaki,38,frozen meals,1,frozen
231,8572,Meat Lovers Breakfast Bowl,52,frozen breakfast,1,frozen
231,4932,Vanilla Bean Ice Cream,37,ice cream ice,1,frozen
231,11381,"Broccoli, Carrots, Cauliflower, & Cheese Sauce",116,frozen produce,1,frozen
231,21281,Café Steamers Grilled Chicken Marinara,38,frozen meals,1,frozen
231,28569,Café Steamers 100% Natural Tortellini Primavera Parmesan,38,frozen meals,1,frozen
231,4798,Top Chef Ravioli & Chicken Marinara,38,frozen meals,1,frozen
231,29471,Combination Pizza Rolls,129,frozen appetizers sides,1,frozen
232,29142,Natural Chicken & Apple Breakfast Sausage Patty,52,frozen breakfast,1,frozen
233,9076,Blueberries,116,frozen produce,1,frozen
238,9124,Broccoli & Cheddar Bake Meal Bowl,38,frozen meals,1,frozen
238,34217,Pesto Tortellini  Bowls,38,frozen meals,1,frozen
238,23417,Brown Rice & Vegetables Bowl,38,frozen meals,1,frozen
240,9076,Blueberries,116,frozen produce,1,frozen
240,24010,Wheat Gluten Free Waffles,52,frozen breakfast,1,frozen
243,42450,Macaroni & Cheese,38,frozen meals,1,frozen
247,2979,Beyond Beef Beefy Crumble,42,frozen vegan vegetarian,1,frozen
247,30135,Cheddar Cheese Burrito,38,frozen meals,1,frozen
248,7963,Gluten Free Whole Grain Bread,58,frozen breads doughs,1,frozen
249,18908,Pizza Dough,58,frozen breads doughs,1,frozen
251,1158,Mango Chunks,116,frozen produce,1,frozen
256,47993,Cherry Garcia Ice Cream,37,ice cream ice,1,frozen
256,43958,Drumstick Vanilla Fudge Frozen Dairy Dessert Cones,37,ice cream ice,1,frozen
260,46823,The Ultimate Beefless Burger,42,frozen vegan vegetarian,1,frozen
260,41453,Eggo Buttermilk Pancakes,52,frozen breakfast,1,frozen
269,35715,"Whole Grain Organic Waffles, Totally Original",52,frozen breakfast,1,frozen
273,45877,Hershey's Chocolate Creme Pie Singles,119,frozen dessert,1,frozen
276,37158,Chicken & Maple Breakfast Sausage,52,frozen breakfast,1,frozen
276,14678,Organic Frozen Peas,116,frozen produce,1,frozen
276,28553,Whole Strawberries,116,frozen produce,1,frozen
278,41264,Meal Starters Grillers Crumbles,34,frozen meat seafood,1,frozen
279,2002,"The \""World's Best\"" Veggie Burger",42,frozen vegan vegetarian,1,frozen
279,24489,Organic Whole Strawberries,116,frozen produce,1,frozen
279,17948,Frozen Organic Wild Blueberries,116,frozen produce,1,frozen
279,436,Petite Brussels Sprouts,116,frozen produce,1,frozen
279,35887,Organic Mixed Vegetables,116,frozen produce,1,frozen
285,49075,Organic Brown Rice,38,frozen meals,1,frozen
286,13966,Chicken Pot Pie,38,frozen meals,1,frozen
286,22699,Steamfresh Premium Selects Broccoli Florets,116,frozen produce,1,frozen
286,12032,Coconut Milk INon Dairy Frozen Dessert Coconut,37,ice cream ice,1,frozen
288,47492,Organic Berry Blend,116,frozen produce,1,frozen
288,17948,Frozen Organic Wild Blueberries,116,frozen produce,1,frozen
289,18079,"Veggie Burger, Quarter Pound",42,frozen vegan vegetarian,1,frozen
289,4001,Probugs Strawnana Split Frozen Ypgurt,37,ice cream ice,1,frozen
